Team1,Team1Goals,Team2Goals,Team2,Winner,Losser
Vietnam,1,1,KoreaDPR,TIEVietnamKoreaDPR,TIEVietnamKoreaDPR
Zimbabwe,2,0,Mauritius,Zimbabwe,Mauritius
Lesotho,1,2,Madagascar,Madagascar,Lesotho
Tanzania,0,1,Swaziland,Swaziland,Tanzania
Namibia,2,0,Mauritius,Namibia,Mauritius
Seychelles,0,1,Zimbabwe,Zimbabwe,Seychelles
Lesotho,0,2,Swaziland,Swaziland,Lesotho
Madagascar,2,0,Tanzania,Madagascar,Tanzania
Thailand,0,1,KoreaDPR,KoreaDPR,Thailand
Namibia,4,1,Zimbabwe,Namibia,Zimbabwe
Seychelles,0,1,Mauritius,Mauritius,Seychelles
Lesotho,1,0,Tanzania,Lesotho,Tanzania
Madagascar,1,1,Swaziland,TIEMadagascarSwaziland,TIEMadagascarSwaziland
Lebanon,2,2,Syria,TIELebanonSyria,TIELebanonSyria
SouthAfrica,0,0,Botswana,TIESouthAfricaBotswana,TIESouthAfricaBotswana
Thailand,1,0,Vietnam,Thailand,Vietnam
Zambia,0,0,Namibia,TIEZambiaNamibia,TIEZambiaNamibia
Ghana,1,2,Madagascar,Madagascar,Ghana
Mozambique,2,2,Malawi,TIEMozambiqueMalawi,TIEMozambiqueMalawi
SouthAfrica,0,0,Malawi,TIESouthAfricaMalawi,TIESouthAfricaMalawi
Zambia,3,0,Ghana,Zambia,Ghana
Botswana,1,2,Mozambique,Mozambique,Botswana
Namibia,3,2,Madagascar,Namibia,Madagascar
Laos,0,2,Afghanistan,Afghanistan,Laos
Zambia,0,1,Malawi,Malawi,Zambia
Bahrain,0,0,Oman,TIEBahrainOman,TIEBahrainOman
Bangladesh,1,2,Singapore,Singapore,Bangladesh
Jordan,0,0,Lebanon,TIEJordanLebanon,TIEJordanLebanon
Madagascar,2,1,Botswana,Madagascar,Botswana
Mexico,3,0,Guatemala,Mexico,Guatemala
Namibia,2,0,Mozambique,Namibia,Mozambique
ElSalvador,0,2,Honduras,Honduras,ElSalvador
NorthernIreland,1,1,Qatar,TIENorthernIrelandQatar,TIENorthernIrelandQatar
Bangladesh,1,1,Afghanistan,TIEBangladeshAfghanistan,TIEBangladeshAfghanistan
Cambodia,1,1,Laos,TIECambodiaLaos,TIECambodiaLaos
Panama,1,1,Ecuador,TIEPanamaEcuador,TIEPanamaEcuador
Cambodia,1,0,Burma,Cambodia,Burma
Curasao,1,0,TrinidadandTobago,Curasao,TrinidadandTobago
Hungary,4,0,Lithuania,Hungary,Lithuania
Jordan,2,2,Kuwait,TIEJordanKuwait,TIEJordanKuwait
Netherlands,3,4,USA,USA,Netherlands
Oman,1,2,Syria,Syria,Oman
Scotland,1,0,Qatar,Scotland,Qatar
Thailand,1,1,Bahrain,TIEThailandBahrain,TIEThailandBahrain
Andorra,0,1,EquatorialGuinea,EquatorialGuinea,Andorra
BurkinaFaso,2,3,Cameroon,Cameroon,BurkinaFaso
Colombia,1,0,CostaRica,Colombia,CostaRica
Ecuador,4,0,Panama,Ecuador,Panama
Guinea,2,1,Chad,Guinea,Chad
Malaysia,0,0,HongKong,TIEMalaysiaHongKong,TIEMalaysiaHongKong
Niger,2,1,Gabon,Niger,Gabon
Paraguay,2,2,Honduras,TIEParaguayHonduras,TIEParaguayHonduras
Rwanda,0,0,Kenya,TIERwandaKenya,TIERwandaKenya
Singapore,5,1,Brunei,Singapore,Brunei
Uruguay,5,1,Guatemala,Uruguay,Guatemala
Brazil,2,0,Mexico,Brazil,Mexico
Croatia,4,0,Gibraltar,Croatia,Gibraltar
Ethiopia,0,1,Zambia,Zambia,Ethiopia
France,3,4,Belgium,Belgium,France
Ireland,0,0,England,TIEIrelandEngland,TIEIrelandEngland
Kenya,2,0,SouthSudan,Kenya,SouthSudan
Russia,4,2,Belarus,Russia,Belarus
Rwanda,2,0,Tanzania,Rwanda,Tanzania
Serbia,4,1,Azerbaijan,Serbia,Azerbaijan
Denmark,2,1,Montenegro,Denmark,Montenegro
Egypt,2,1,Malawi,Egypt,Malawi
Ghana,1,0,Togo,Ghana,Togo
Malta,2,0,Lithuania,Malta,Lithuania
Norway,0,0,Sweden,TIENorwaySweden,TIENorwaySweden
Turkey,4,0,Bulgaria,Turkey,Bulgaria
CongoDR,1,1,Cameroon,TIECongoDRCameroon,TIECongoDRCameroon
Finland,0,2,Estonia,Estonia,Finland
Georgia,1,2,Ukraine,Ukraine,Georgia
Luxembourg,0,0,Moldova,TIELuxembourgMoldova,TIELuxembourgMoldova
Uganda,1,1,Gambia,TIEUgandaGambia,TIEUgandaGambia
Brazil,1,0,Honduras,Brazil,Honduras
Curasao,0,0,Cuba,TIECurasaoCuba,TIECurasaoCuba
Germany,1,2,USA,USA,Germany
Switzerland,3,0,Liechtenstein,Switzerland,Liechtenstein
Afghanistan,0,6,Syria,Syria,Afghanistan
Bangladesh,1,3,Kyrgyzstan,Kyrgyzstan,Bangladesh
Cambodia,0,4,Singapore,Singapore,Cambodia
Chile,2,0,Ecuador,Chile,Ecuador
DominicanRepublic,1,2,Belize,Belize,DominicanRepublic
Guam,1,0,Turkmenistan,Guam,Turkmenistan
HongKong,7,0,Bhutan,HongKong,Bhutan
India,1,2,Oman,Oman,India
Japan,4,0,Iraq,Japan,Iraq
SouthKorea,3,0,UnitedArabEmirates,SouthKorea,UnitedArabEmirates
Laos,2,2,Burma,TIELaosBurma,TIELaosBurma
Lebanon,0,1,Kuwait,Kuwait,Lebanon
Malaysia,3,0,EastTimor,Malaysia,EastTimor
Maldives,0,1,Qatar,Qatar,Maldives
Philippines,2,1,Bahrain,Philippines,Bahrain
SaudiArabia,3,2,Palestine,SaudiArabia,Palestine
Spain,2,1,CostaRica,Spain,CostaRica
Tajikistan,1,3,Jordan,Jordan,Tajikistan
Uzbekistan,0,1,Iran,Iran,Uzbekistan
Yemen,0,3,KoreaDPR,KoreaDPR,Yemen
Andorra,1,3,Cyprus,Cyprus,Andorra
BosniaHerzegovina,3,1,Israel,BosniaHerzegovina,Israel
Croatia,1,1,Italy,TIECroatiaItaly,TIECroatiaItaly
Guinea,1,2,Swaziland,Swaziland,Guinea
Iceland,2,1,CzechRepublic,Iceland,CzechRepublic
Kazakhstan,0,1,Turkey,Turkey,Kazakhstan
Latvia,0,2,Netherlands,Netherlands,Latvia
Malta,0,1,Bulgaria,Bulgaria,Malta
Mexico,0,0,Bolivia,TIEMexicoBolivia,TIEMexicoBolivia
Morocco,1,0,Libya,Morocco,Libya
